aX,aY,aZ,gX,gY,gZ
-0.872,0.366,-0.222,-0.122,0.732,-0.183
-0.872,0.365,-0.223,0.122,0.427,-0.183
-0.873,0.366,-0.224,-0.061,0.427,-0.244
-0.872,0.366,-0.224,-0.061,0.61,-0.244
-0.873,0.365,-0.224,0.0,0.549,-0.366
-0.872,0.365,-0.223,-0.061,0.549,-0.427
-0.872,0.365,-0.221,-0.061,0.488,-0.305
-0.875,0.366,-0.223,0.0,0.488,-0.305
-0.871,0.365,-0.222,-0.061,0.427,-0.366
-0.877,0.367,-0.223,0.0,0.793,-0.427
-0.872,0.368,-0.222,-0.061,0.549,-0.427
-0.87,0.37,-0.223,0.0,0.61,-0.244
-0.87,0.371,-0.221,0.061,0.549,-0.366
-0.871,0.372,-0.222,-0.183,0.366,-0.488
-0.87,0.371,-0.221,0.122,0.366,-0.549
-0.871,0.369,-0.222,0.366,0.488,-0.244
-0.872,0.365,-0.223,0.427,0.244,-0.305
-0.872,0.364,-0.224,0.366,0.244,-0.244
-0.876,0.366,-0.223,0.244,0.488,-0.244
-0.873,0.365,-0.223,0.061,0.427,-0.244
-0.873,0.365,-0.223,0.244,0.671,-0.366
-0.873,0.365,-0.222,0.488,0.488,-0.305
-0.872,0.367,-0.223,0.366,0.427,-0.366
-0.871,0.366,-0.224,0.366,0.488,-0.183
-0.871,0.366,-0.223,0.0,0.732,-0.183
-0.872,0.365,-0.222,0.122,0.549,-0.305
-0.872,0.371,-0.22,-0.244,0.732,-0.122
-0.871,0.373,-0.221,-0.366,0.671,-0.305
-0.871,0.371,-0.222,-0.061,0.61,-0.366
-0.872,0.369,-0.223,0.122,0.488,-0.244
-0.871,0.368,-0.224,0.061,0.488,-0.366
-0.872,0.367,-0.223,0.122,0.427,-0.122
-0.872,0.366,-0.224,-0.061,0.671,-0.122
-0.872,0.365,-0.222,-0.122,0.854,-0.061
-0.872,0.365,-0.223,-0.183,0.61,-0.061
-0.871,0.365,-0.222,0.122,0.549,0.0
-0.871,0.368,-0.222,-0.061,0.732,-0.244
-0.871,0.368,-0.223,-0.183,0.549,-0.244
-0.873,0.369,-0.224,-0.366,0.488,-0.183
-0.872,0.368,-0.223,-0.305,0.549,-0.122
-0.871,0.367,-0.222,-0.183,0.732,-0.122
-0.871,0.365,-0.221,-0.427,0.793,-0.061
-0.873,0.366,-0.219,-0.244,0.732,-0.061
-0.873,0.368,-0.221,-0.366,0.61,-0.183
-0.871,0.368,-0.222,-0.122,0.732,0.061
-0.871,0.367,-0.224,-0.122,0.732,0.061
-0.871,0.37,-0.221,-0.244,0.61,0.0
-0.873,0.369,-0.222,-0.183,0.61,0.0
-0.872,0.369,-0.221,-0.183,0.488,0.0
-0.872,0.368,-0.223,-0.122,0.549,0.061
-0.875,0.366,-0.221,0.122,0.61,0.0
-0.872,0.367,-0.221,-0.366,0.732,0.061
-0.871,0.369,-0.222,-0.366,0.732,0.0
-0.871,0.368,-0.221,0.0,0.488,-0.061
-0.873,0.367,-0.223,-0.061,0.427,0.0
-0.873,0.366,-0.223,-0.061,0.305,-0.061
-0.872,0.368,-0.222,-0.366,0.671,0.0
-0.872,0.368,-0.224,-0.244,0.549,0.0
-0.871,0.371,-0.22,-0.183,0.427,-0.122
-0.871,0.371,-0.218,-0.305,0.488,-0.183

-0.873,0.364,-0.223,0.244,0.305,0.183
-0.873,0.365,-0.222,-0.061,0.305,-0.122
-0.873,0.365,-0.222,-0.244,0.488,-0.061
-0.873,0.365,-0.221,-0.122,0.61,-0.061
-0.874,0.366,-0.221,-0.122,0.549,-0.183
-0.873,0.366,-0.221,-0.244,0.61,-0.122
-0.872,0.365,-0.221,-0.122,0.488,0.122
-0.872,0.366,-0.221,0.0,0.366,-0.122
-0.874,0.368,-0.223,0.0,0.488,-0.061
-0.872,0.366,-0.222,0.244,0.61,-0.061
-0.873,0.365,-0.221,0.122,0.244,-0.183
-0.873,0.365,-0.221,-0.244,0.488,-0.244
-0.872,0.367,-0.221,-0.122,0.61,-0.244
-0.872,0.367,-0.221,-0.244,0.427,-0.122
-0.874,0.366,-0.221,0.183,0.427,-0.183
-0.873,0.365,-0.222,0.183,0.305,-0.122
-0.873,0.366,-0.222,0.122,0.305,-0.183
-0.873,0.366,-0.223,0.0,0.244,-0.244
-0.872,0.367,-0.222,-0.183,0.488,-0.244
-0.872,0.366,-0.223,-0.183,0.427,-0.305
-0.872,0.366,-0.221,-0.122,0.366,-0.366
-0.872,0.367,-0.222,-0.183,0.549,-0.305
-0.872,0.366,-0.222,0.0,0.366,-0.366
-0.874,0.364,-0.222,0.366,0.305,-0.305
-0.874,0.365,-0.222,0.183,0.183,-0.366
-0.873,0.366,-0.224,0.244,0.427,-0.427
-0.874,0.369,-0.224,-0.061,0.61,-0.305
-0.873,0.365,-0.221,0.183,0.488,-0.549
-0.873,0.365,-0.219,0.305,0.427,-0.427
